entidad,municipio,PC1,PC2,PC3,PC4,PC5,PC6,n_hogares,gasto_median
1,1,2.415708600957204,0.0024244255095179357,-0.21986669797752456,0.0195471504088858,-0.07918744571771508,-0.10048776439908444,1688,39568.64
1,2,0.4175353544453144,0.2219514561616461,0.7075956821735435,-0.31644945599849095,-0.28510686596226764,-0.4097616720245453,200,26000.629999999997
1,3,1.3402054275673692,-0.05875733633578903,0.39080347608330135,0.08608421481466912,-0.5695921805998196,0.3136094279963769,197,30947.95
1,5,2.894225043680781,-0.1154089522533629,0.23922974689850496,0.2955075234381167,-0.33904085741921364,-0.44835814990608003,269,39731.42
1,6,1.037562777724169,-0.5514609317797612,0.6156625027426756,-0.41486432030897225,0.47528211924972763,-0.30044940991387803,138,33939.630000000005
1,7,0.37755324287068187,0.5701532231931544,-0.6135461212300448,0.5952024845131659,0.5600307323536449,-1.612455899704218,117,28801.62
1,8,0.6400544254120779,-0.06771041353939225,-1.0481903212644774,-1.2102365945451834,0.7628780972346795,-1.8897696453700745,22,55690.54
1,9,-0.12518746779239473,-0.003164956668739158,0.18950005376355408,-0.11197320908030699,0.562206398320315,-0.9618708820379808,109,24809.63
1,10,0.7655143571461422,-0.4998893406278273,0.41349994219373964,0.1009573208266927,1.0083742445513932,-0.5471499939879709,70,30320.055
1,11,1.2520222375199825,-0.642440487147204,-0.288898245612878,0.7312485911498278,0.12829756600191128,0.24400780063816088,98,33006.435
2,1,2.7438716659001132,-0.758933696259577,-0.11291975833286344,0.3072413172853219,-0.3803947238181701,0.07399554628719396,624,37922.3
2,2,2.62515217947652,-1.4010709676805648,-0.3916771962478462,-0.2677733748649368,0.15325262511370663,0.11223916035667597,1451,37187.04
2,3,3.202723758445612,3.449527770800209e-4,-0.3225920394251339,0.5510040705765565,-0.5866220770712023,0.8784016995048114,238,45721.35
2,4,2.8032800917277187,-0.7368190876455287,-0.8156418164733408,0.3360742866455902,-0.5610430315112648,0.2611610014572315,1073,43902.64
2,5,2.7466693738998447,-0.6146209826161074,-0.2903354654246191,0.5072658081482175,-0.2747428299718788,0.2774270514950899,210,38791.775
2,6,1.5537979189077893,-1.6196676489893198,-0.18614578473451063,0.10621710451383692,-0.3965175447907967,-0.02558425809122177,447,32896.85
3,1,1.9047292214833071,-1.466471774499444,0.1356520403741173,-0.31757073384058737,-0.7149576517983247,-0.48452445483441425,313,30283.07
3,2,2.205492723025636,-1.1423590441070846,0.39297756522535965,0.4532337616269703,0.3794739573966167,-0.5519374712028523,513,29554.5
3,3,3.182415826419747,-0.820108447005874,-0.1222232758568549,-0.19522864962203554,-0.12523218207816883,-0.2094593479511364,1121,36304.33
3,8,2.7605798417804706,-0.2790034180968759,-0.6688553343157695,0.02374241970289606,-0.68070623402118,0.46368193945283603,838,48519.850000000006
3,9,1.8409674660135233,-1.9981182437598277,1.2971009951113557,-0.8155548741712864,-1.0783302280481804,-0.7082441734454041,16,33241.08500000001
4,1,0.9504261019028801,0.3304352304260841,2.2439558730798406,0.5643221053917006,0.013140307650338023,-0.7227997684853952,191,26952.36
4,2,2.3086775023249557,0.186229980964162,1.0311842251358625,0.40586736390403877,0.19445984982477155,-0.3612982555481602,683,32085.94
4,3,1.598670981032705,0.46299854545634406,0.4443304158604518,0.5588117083371407,-0.185295740480363,-0.09630176755883947,690,36814.17
4,4,-0.18578536289100814,-0.20726482023113652,1.4322998602570056,0.13123828604646426,-0.19179236469587685,-0.41705926082992173,87,22871.77
4,5,1.6753346002759701,0.0985328418390572,1.2673735249787825,0.47316475465204394,1.0592918553912298,-0.1316605045852404,66,31169.230000000003
4,6,0.6316002004301937,-0.7386972221929569,1.3200012003748933,-0.03724330804586595,0.8956804209141003,-1.080201902836522,91,25969.01
4,8,0.9237791619508791,-0.3321008046598009,1.1619071296539465,0.7064579198795696,0.201327345282247,-0.32500000117312833,69,26374.329999999998
4,9,0.8071033298783175,0.05535841957971144,0.8205971087028207,0.30655174608050756,0.08459228403824387,0.10636767931189299,134,28147.36
4,10,-0.08038916760343429,-0.4575810631496855,2.075016936618605,0.07050336887500452,1.0838218367931582,-0.4565532426088168,88,30281.36
4,11,-0.9549069174639795,-0.49199583591564455,0.6257278247846232,-0.47285803826658107,-0.2732311192934886,-0.295440183902232,110,22968.21
4,12,0.8098593186399565,-1.6946648840095648,0.48699882423883456,0.8505712114042058,0.8512052794557147,-0.6170867866477955,20,23466.765
5,1,-0.0020350096593679534,-1.1503559976424365,-0.30764133172237,0.39212283731658987,0.5363642890394766,-0.2572504564530063,20,25583.52
5,2,2.2738758184405463,-0.5956044420197474,-0.6188287441159362,0.12390816027929276,-1.06092328743012,0.1691267459169147,225,35217.62
5,3,2.008889072154634,-1.7500163144495031,-0.6776452388767239,-0.6097709232231964,-0.11681757379378901,-0.015346654430037441,41,34798.159999999996
5,4,0.7232020263855636,-0.6357936610366121,0.04897883654327562,-1.0039214050809802,-0.4419251902164546,-0.45645083283149884,38,37652.99
5,6,1.8745093555218135,-0.4662737330218855,-0.11127882987694962,0.6944474586651034,-2.933718413095686,-0.32228597275669885,35,30314.57
5,7,0.15955556032655904,-2.2864594345720546,0.8739712051506507,0.3447461579239607,0.7188538081184723,-1.0673038330337972,20,29157.105
5,8,1.401946652551281,-0.9720138036289367,-1.1519659513925071,-0.6326028962022225,-1.670356184473635,0.4119467315206758,40,26564.67
5,9,0.7164801075836642,-0.029388951902235866,-0.7192990650848674,0.023845191082943057,0.06928771128124345,-0.14869328178352798,144,26906.315000000002
5,10,2.4115358531901236,-1.0628728767777,-0.4517125359899392,-0.341228786676256,-0.49337512529911115,-0.4016265439143997,119,36084.38
5,11,2.327826479163911,-2.1912432247754094,-0.8868347300743233,-1.0653038497772926,-1.2633438652944562,-0.8639574745372265,22,20078.879999999997
5,12,1.67552757894495,-1.8815831666357858,-0.22432070544042754,0.9110302335642094,0.5855732267338672,-0.2774163142481578,19,24121.11
5,14,0.9321361608894476,-2.4699372885947475,-0.8970734773011413,-0.2178853976245303,-0.867454968147447,-0.12839708138786127,41,21515.07
5,17,0.9340009323684543,-0.15895142367587267,0.552452597875202,0.5774891091881184,-0.077532347092319015,-0.28987009981810924,212,29889.839999999997
5,18,2.0647540403093716,-0.6296825393703125,-0.8286593199024272,0.21990563725705908,-0.18042664763119912,-0.05834943745528916,257,36094.8
5,19,1.8363156765301032,-1.5381102402711504,-1.2266568387048553,-0.13544105056736042,-0.56297791264051,0.059169861333718196,20,38158.58
5,20,1.1127921931976277,-2.1902445767352554,-1.084642865586635,0.3797064304545795,-0.45163461068048694,-0.12935650546020544,63,24624.22
5,21,0.8773414418318701,-1.7254261523954624,-1.0155694522941126,-0.005241552915334624,-0.2290558398501271,0.1242810609745126,24,25144.14
5,22,2.9314233356532844,-1.232766533861465,-0.43260825336249953,-0.23486439471747586,-0.22817467440197098,-0.19770758661918394,61,45436.01
5,23,1.6896652573457365,0.299521032892082,2.569492920414518,0.6572324251259118,-2.0877327016531684,-0.7792880064962556,22,26284.915
5,24,2.189776621012156,0.22143853536219144,-0.310400934117533,-0.24788523030256115,0.6508813132944266,1.0388361921794163,69,38110.8
5,25,2.479582701780343,-1.0826543547974472,-1.326207592063738,-0.2273414511655929,-0.35785612707281034,-0.3327745930758975,196,42985.115
5,27,2.0923053323619207,-0.6563731813660513,-0.7855427853207192,0.613301779049116,-0.28445337654519265,-0.06723506898104027,204,33159.54
5,28,2.249086744381117,-1.2619540211957536,-1.0464146811084811,0.05473183755348561,-0.5128212541130153,-0.4336024356972184,59,33687.25
5,30,2.5679830724730497,-0.4332962926712546,-0.809038876456019,-0.27119475440018204,-0.41850111727530837,-0.3303388478089832,927,39995.64
5,32,2.283938787265228,-1.5685164243964609,-0.9346391407420842,-0.8067587725837442,-0.18721850950007368,0.3513287474569458,57,34630.32
5,33,0.5324570109351608,0.7947548144910022,0.35724274248003646,0.04380494988276884,0.557352621914609,0.6541288551149929,196,25805.355
5,35,1.9675804821755936,0.19427646385824915,-0.036745517006455536,0.3394872926706647,0.23750092818238422,0.33057754601730477,888,36951.09
5,36,-0.0700532223051066,0.32022694857428236,-0.16495080430628323,0.5192963771615847,-0.3171886579392412,-0.06704547034907377,69,22697.420000000002
5,38,0.6956552395199258,-1.3532288142650395,-0.7087058599394991,0.4421042227340206,-0.5735576936357465,0.14215309684160424,23,35280.31
6,1,0.9989276046408462,0.5403946117073891,1.8399277196296893,0.3247093919034328,-0.40658240343973906,-0.4259831346987568,252,31986.58
6,2,1.9050147422504973,-0.11288460580328252,0.27985392209351617,-0.017233906051740633,0.39914266636154355,0.12723306818410052,630,32884.2
6,3,0.6173197085183906,-0.3537075816072058,0.7876156417882665,0.7012695453311029,1.369021643560531,0.35407749813933564,126,27303.665
6,4,0.80949880766759,-1.1669535756999592,0.6559979303997656,0.5386660095673608,0.9597824913995688,0.0340648447407856,71,22956.13
6,5,1.290060076766326,0.44641412880381764,0.838829060233329,-0.4048153061439503,0.5033723751208625,0.5359919710636653,266,32385.165
6,6,-0.8098043249205623,-0.09989448783390081,2.5619327031668018,1.3637287068895776,-0.1503441497248169,-0.4082363529235308,65,30104.41
6,7,1.908622964116572,0.27537109276361055,0.46312299971791426,0.2917250792591155,0.28328547966306894,0.17892181197596724,923,36301.34
6,8,0.9701461114752876,-0.5151130178264445,1.680182801801752,-0.44697043134750924,0.42851248387170393,-0.7726907462179258,144,37746.270000000004
6,9,1.289999890650793,0.02823415654012057,0.47968313379658395,0.607548930344282,0.25872589997171486,0.20340660476193437,422,34717.24
6,10,2.6831909692088534,0.08124499039371358,0.7661081307011672,-0.0498339406491623,0.33656617338054823,-0.1703698527501811,448,40119.455
7,2,-1.6810774270816502,-0.07757445395178544,-0.08344484830713013,0.7965200790843626,-0.24960282858487626,1.761732941583735,22,28073.510000000002
7,3,-1.0892416759825985,-0.6369304259267943,0.4198919435867805,0.47737976170505114,-0.5583820677764207,-0.18714164300305175,42,25202.800000000003
7,5,-2.4651745968954444,-0.7655769552333427,0.1542208056563637,0.3505002444230743,-0.10349807177165582,0.8123443912447474,46,16053.8
7,15,-1.9357842250126784,-0.3069646395216453,0.14460699862633553,0.4603312032453256,0.4725686975038134,0.12221283024464687,51,23338.95
7,17,-2.2817993823139346,-0.3666072188934201,0.9151942478446202,1.1419837758657345,-0.8947382791654193,0.3394929713373209,72,19395
7,19,-0.4720267543626431,-0.07408225430685308,0.2507811677684457,-0.46035926156609597,-0.32451859636181235,0.8810618680892184,41,22982.54
7,21,-3.8949420248759554,-1.02482991035025,0.6892430567679637,0.28876196487675965,-0.7273946407321829,1.1191786023174655,22,16180.875
7,23,-2.801795126000893,-0.567811685447586,0.28904935600150927,0.7290869366815728,-2.1015168330677865,1.0523279751388503,53,11215.65
7,27,-1.0909008610118878,-0.16190283679008666,1.1319533191516982,0.6858137356960524,-0.6809781318530003,0.19893804265052226,62,19707.14
7,31,-3.3467897249847653,-0.20283814474036255,0.8471735410649236,0.9626689209704747,-1.3679527248668202,1.1924537811238167,70,10342.744999999999
7,40,0.5533597373129105,0.6122498518817047,-1.3070641288314593,0.5035950235966702,0.6989746559915082,-0.837121069905171,20,25559.214999999997
7,41,-2.22437343068,-0.5754153318131944,-0.09473880626895737,-0.5273347527367754,-0.3218769878743907,0.825399945043899,72,14717.244999999999
7,44,-3.826226927257049,0.7125894053382388,0.48185736662505635,-2.440921163886581,0.38353884193813215,1.294090701813099,23,16695.59
7,46,-1.4264101665177606,-1.4919436515907163,1.465805389904781,0.11798192783673844,-1.380562645139682,-0.4575959546575219,23,17217.21
7,51,-1.5829361540972924,-1.1987698130519486,0.29445001505683166,0.7216678998317378,-0.009261453821357929,0.7092893057515136,25,18854.35
7,52,-2.3932943661092443,-0.8715296082588153,0.646607799557382,0.5248982433826763,0.6076323525386396,0.5414092674566208,24,16777.1
7,59,-1.6141527290824071,-0.4934940321577041,0.42097773759505464,0.5288733743266194,-0.4567028383414461,0.4111484874991909,90,21834.83
7,61,-1.0243320129131677,0.05043179332245612,0.4522398596497999,0.11866228407061319,-0.7146690573396943,0.6126612199494567,46,30819.945
7,62,-2.7193379915282234,-0.5402858920454794,1.4001389086152032,-0.5991876324407368,0.8767559435380186,0.333341751753571,23,17808.99
7,64,-4.412731915002312,0.07929195379575382,0.6087850503879406,0.028611595870376094,0.087719418702777,2.2783711538994216,23,9829.29
7,65,-2.8011800265602615,-0.823964930840104,0.32944302984446067,0.44012853822046505,0.039697435895915345,0.929307158015002,96,20395.190000000002
7,67,-1.96665300923656,-0.8114901521427176,0.021608785137180675,0.4600448422814075,0.08517259240353647,0.8483903984602517,24,17733.285
7,68,-0.9921558158537784,-1.1072965350625696,0.1578030249112664,1.2440586088031522,-0.11164599885101098,-0.20180566165759048,23,16064.91
7,69,-2.260156201177481,-0.14820129253670686,1.5664750457535923,0.6051569012375103,-0.4821330413120152,0.6909251960650665,24,22269.260000000002
7,72,-2.7829538835103076,0.043254033177454146,1.3054837084171842,0.10403034070272213,0.7366168683165752,1.1375511865813983,21,11624.8
7,74,-0.17255114668863275,0.1946965723164914,0.31204581330227593,0.5593190128294577,-0.09718268679352887,0.0658727677807786,41,24750.72
7,77,-3.5966198454826492,-0.23101581567749427,0.6388675875623329,0.6139804336451694,0.19188759834087288,0.9035167726790474,42,16099.779999999999
7,78,-0.35562145383001187,0.15780525046713917,0.5400556426371437,-0.0032752971116622037,-1.351935997178889,0.5222562043114184,106,24852.239999999998
7,79,-1.5172641436007304,-0.033586669081742015,0.23155553371009574,-0.19127787303277147,-0.5819653822775368,1.213875986913179,45,18058.01
