alimento,categoria,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hc_g,fibra_g,acido_folico_ug,calcio_mg,hierro_mg,sodio_mg,azucar_equiv_g,indice_glucemico,carga_glucemica,clave,colesterol_mg,vitamina_a_ug_re,selenio_ug,categoria_grasa,azucar_por_equivalente_g,categoria_leche,peso_bruto_redondeado_g,hidratos_carbono_g,acido_ascorbico_mg,hierro_no_hem_mg,potasio_mg,fosforo_mg,indice_glicemico,carga_glicemica,etanol_g,subcategoria,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,grupo,generico,cantidad,verdura,fruta,cereal_sin_grasa,cereal_con_grasa,leguminosa,muy_bajo_aporte_grasa,bajo_aporte_grasa,moderado_aporte_grasa,alto_aporte_grasa,leche_descremada,leche_semidescremada,leche_entera,leche_con_azucar,grasa_sin_proteina,grasa_con_proteina,azucar,azucar_con_grasa,etanol,alimentos_libres_energia,kcal,proteina,lipidos,hidratos_carbono,restaurante,producto,kcal_por_equivalentes,aoambag,aoabag,aoamag,azucar_sin_grasa,verduras,frutas,leguminosas,libre
Pulpa de zapote negro,NA,0.5,taza,NA,105,59,0.8,0.1,NA,1.3,0,NA,NA,NA,NA,NA,NA,4177,NA,10.5,NA,NA,0,NA,105,15.2,87.2,1.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puré de ciruela pasa,NA,3,cucharada,NA,41,51,0.5,0.1,NA,0.2,0,NA,NA,NA,NA,NA,NA,4178,NA,12,NA,NA,0,NA,41,13.6,0.8,0.4,128.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puré de guayaba,NA,0.5,frasco,NA,65,49,0.1,0.1,NA,1.7,0,NA,NA,NA,NA,NA,NA,4179,NA,0,NA,NA,0,NA,65,12,67,0.1,97.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puré de Guayaba Gerber 2A Etapa,NA,0.5,frasco,NA,65,49,0.1,0.1,NA,1.7,0,NA,NA,NA,NA,NA,NA,4180,NA,0,NA,NA,0,NA,65,12,67,0.1,97.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puré de manzana,NA,6,cucharada,NA,83,63,0.1,0.1,NA,1,0,NA,NA,NA,NA,NA,NA,4181,NA,0,NA,NA,13.6,NA,83,16.4,1.3,0,60.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puré de manzana sin azúcar,NA,0.5,taza,NA,122,52,0.2,0.1,NA,1.5,1,NA,NA,NA,NA,NA,NA,4182,NA,4,NA,NA,0,NA,122,13.8,1,0.2,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puré de plátano,NA,0.25,taza,NA,56,50,0.6,0.2,NA,1.5,12.4,NA,NA,NA,NA,NA,NA,4183,NA,34.9,NA,NA,6.9,NA,56,12.8,7.3,0.4,208.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rambután,NA,7,pieza,NA,88,55,0.6,0.3,NA,0.9,3.8,NA,NA,NA,NA,NA,NA,4184,NA,8.6,NA,NA,14.4,NA,175,15,3.8,0.3,167.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rambutan en almíbar,NA,0.25,taza,NA,54,44,0.4,0.1,NA,0.5,4.3,NA,NA,NA,NA,33,3.7,4185,NA,0,NA,NA,0,NA,54,11.2,2.5,0.2,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rollo de frutas,NA,1,pieza,NA,21,78,0,0.6,NA,0,2,NA,NA,NA,NA,NA,NA,4186,NA,3,NA,NA,10.3,NA,21,18,1,0.2,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
