categoria,alimento,cantidad_sugerida,unidad,peso_bruto_redondeado_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,sodio_mg,azucar_por_equivalente_g,indice_glucemico,carga_glucemica
Azúcares sin grasa,Gomitas,4,pieza,12,12,42,0.5,0.0,10.2,ND,7.1,ND,ND
Azúcares sin grasa,Halls nite,1/2,pieza,8,8,31,0.1,0.0,7.6,ND,5.5,ND,ND
Azúcares sin grasa,Jalea,2,cucharadita,13,13,42,0.0,0.0,10.7,3.3,6.5,ND,ND
Azúcares sin grasa,Jarabe de chocolate,1,cucharada,18,18,49,0.4,0.2,11.4,12.7,8.7,ND,ND
Azúcares sin grasa,Jarabe de sabor para preparar agua,1,cucharada,17,17,41,0.0,0.1,11.2,ND,ND,ND,ND
Azúcares sin grasa,Jugo de caña de azúcar,1/4,taza,60,60,50,0.2,0.1,12.3,ND,ND,ND,ND
Azúcares sin grasa,Jugo de ciruela pasa,1/4,taza,64,64,45,0.4,0.0,11.2,2.6,10.5,ND,ND
Azúcares sin grasa,Jugo de cítricos preparado con agua,1/3,taza,80,80,37,0.2,0.0,9.2,3.2,6.5,50.0,4.6
Azúcares sin grasa,Jugo de fruta concentrado,20,g,20,20,45,0.8,0.3,10.1,1.0,10.0,50.0,5.1
Azúcares sin grasa,Jugo de frutas,1/3,taza,80,80,40,0.0,0.0,10.0,53.3,10.0,50.0,5.0
Azúcares sin grasa,Jugo de zanahoria manzana y 3 frutas cítricas,1/3,taza,80,80,39,0.0,0.0,9.7,6.4,9.0,ND,ND
Azúcares sin grasa,Jugo Natural'es de Lala,1,pieza,125,125,28,0.5,0.0,6.5,3.8,6.5,ND,ND
Azúcares sin grasa,Leche condensada,2,cucharadita,11,11,36,0.9,1.0,6.1,14.2,6.1,61.0,3.7
Azúcares sin grasa,Leche condensada light,1,cucharada,16,16,45,1.4,0.1,9.6,16.8,ND,ND,ND
Azúcares sin grasa,Leche en polvo sabor chocolate con malvavisco,2,cucharada,14,14,56,0.6,0.3,12.6,19.0,11.5,ND,ND
Azúcares sin grasa,Leche en polvo sabor fudge de chocolate,2,cucharada,14,14,56,0.6,0.3,12.6,19.0,11.5,ND,ND
Azúcares sin grasa,Malvavisco,2,pieza,14,14,45,0.3,0.0,11.4,11.2,8.1,ND,ND
Azúcares sin grasa,Malvavisco miniatura,18,pieza,13,13,40,0.2,0.0,10.2,10.1,7.3,ND,ND
Azúcares sin grasa,Melaza,2 1/2,cucharadita,13,13,36,0.0,0.0,8.9,6.1,ND,ND,ND
Azúcares sin grasa,Mentas de caramelo,6,pieza,10,10,41,0.0,0.0,10.2,ND,10.2,70.0,7.1
Azúcares sin grasa,Merengue duro,11,pieza pequeña,11,11,42,0.2,0.0,10.2,ND,ND,ND,ND
Azúcares sin grasa,Mermelada,2 1/2,cucharadita,17,17,41,0.1,0.0,10.0,0.2,8.1,48.0,4.8
Azúcares sin grasa,Mermelada con fructosa,2 1/2,cucharada,43,43,40,0.0,0.0,10.0,50.0,10.0,ND,ND
Azúcares sin grasa,Mermelada de fruta menos azúcar,2,cucharada,30,30,40,0.0,0.0,9.9,ND,9.9,ND,ND
Azúcares sin grasa,Miel de abeja,2,cucharadita,14,14,43,0.0,0.0,11.5,0.6,11.5,55.0,6.3
Azúcares sin grasa,Miel de caña,2,cucharadita,12,12,35,0.1,0.0,8.7,ND,ND,ND,ND
Azúcares sin grasa,Miel de maíz,2,cucharadita,12,12,36,0.0,0.0,9.0,8.2,ND,ND,ND
Azúcares sin grasa,Miel o jarabe sabor maple,2,cucharadita,12,12,31,0.0,0.0,8.1,1.1,7.1,ND,ND
Azúcares sin grasa,Monster Energy,1/5,lata,96,96,72,0.0,0.0,11.0,72.0,11.0,ND,ND
Azúcares sin grasa,Monster Kaos,1/5,lata,96,96,36,0.4,0.0,8.4,6.0,8.4,ND,ND
Azúcares sin grasa,Mousse de chocolate sin grasa,1/4,taza,50,50,47,1.0,0.2,10.4,55.0,7.9,31.0,3.2
Azúcares sin grasa,Néctar de fruta,1/4,taza,63,63,38,0.1,0.0,9.9,2.5,9.5,54.0,5.3
Azúcares sin grasa,Nescafe Dolce Gusto Nestea peach,2,cápsula,12,12,42,0.0,0.0,10.0,ND,10.0,ND,ND
Azúcares sin grasa,Nieve de frutas,40,g,40,40,40,0.2,0.1,9.7,0.0,9.7,ND,ND
Azúcares sin grasa,Obleas de cajeta,1,pieza chica,7,7,30,0.7,0.7,5.3,15.3,5.3,ND,ND
Azúcares sin grasa,Paleta de caramelo,2,pieza,12,12,44,0.0,0.0,11.8,0.0,11.8,70.0,8.3
Azúcares sin grasa,Paleta helada de agua,1,pieza,52,52,41,0.0,0.1,10.0,3.6,7.1,ND,ND
Azúcares sin grasa,Paleta helada de fruta,1/2,pieza,46,46,38,0.6,0.1,9.3,2.0,9.3,ND,ND
Azúcares sin grasa,Paleta helada de fruta sin azúcar,3,pieza,153,153,36,0.9,0.3,9.6,9.0,9.6,ND,ND
Azúcares sin grasa,Paleta helada de yogurt sabor coco,1/2,pieza,35,35,47,0.7,0.9,9.1,22.8,9.1,ND,ND
Azúcares sin grasa,Panditas,1/3,bolsa,15,15,47,0.9,0.0,10.9,1.7,7.6,ND,ND
Azúcares sin grasa,Pasitas con chocolate,11,pieza,11,11,43,0.5,1.6,7.5,4.0,6.8,ND,ND
Azúcares sin grasa,Piloncillo,10,g,10,10,36,0.0,0.0,9.1,3.0,9.1,ND,ND
Azúcares sin grasa,Piloncillo rallado,1,cucharada,10,10,36,0.0,0.0,9.1,3.0,9.1,ND,ND
Azúcares sin grasa,Ponche de frutas,1/3,taza,79,79,36,0.0,0.0,9.2,4.0,ND,ND,ND
Azúcares sin grasa,Queso de tuna,13,g,13,13,42,0.2,ND,10.3,ND,ND,ND,ND
Azúcares sin grasa,Red Bull,1/3,lata,83,83,37,0.2,0.1,9.0,69.3,8.3,ND,ND
Azúcares sin grasa,Refresco,1/4,lata,92,92,38,0.0,0.0,9.7,3.5,9.7,66.0,6.4
Azúcares sin grasa,Refresco de cola,1/4,lata,92,92,38,0.0,0.0,9.7,3.5,9.7,58.0,5.6
Azúcares sin grasa,Refresco de frutas,1/4,lata,89,89,44,0.0,0.0,11.1,59.2,11.1,ND,ND
Azúcares sin grasa,Salsa catsup,2,cucharada,30,30,29,0.5,0.1,7.6,334.2,6.8,ND,ND
Azúcares sin grasa,Salsa de manzana,1,cucharada,16,16,42,0.1,0.0,10.7,37.1,7.2,ND,ND
Azúcares sin grasa,Salsa de tamarindo,25,g,25,25,40,0.3,0.7,8.8,131.5,3.5,ND,ND
Azúcares sin grasa,Salsa demiglass,1/3,taza,63,63,36,1.3,0.5,7.5,576.2,3.5,ND,ND
Azúcares sin grasa,Skwinkes clásicos,1/2,paquete,10,10,35,0.5,0.2,8.1,75.0,5.0,ND,ND
Azúcares sin grasa,Té helado en polvo,4,cucharadita,10,10,41,0.0,0.1,10.1,0.5,9.7,ND,ND
Azúcares con grasa,Aderezo blue cheese bajo en calorías,4,cucharada,60,60,86,1.7,15.0,10.4,582.9,5.1,ND,ND
Azúcares con grasa,Aderezo de miel,4,cucharada,64,64,70,2.5,2.4,10.7,526.7,7.7,ND,ND
Azúcares con grasa,Aderezo de miel y mostaza bajo en calorías,3,cucharada,45,45,64,1.3,1.8,14.1,424.3,6.4,ND,ND
Azúcares con grasa,Aderezo francés bajo en calorías,4,cucharada,60,60,79,0.0,3.4,13.1,472.5,ND,ND,ND
Azúcares con grasa,Aderezo mil islas bajo en calorías,4,cucharada,60,60,96,0.4,6.4,9.6,600.0,ND,ND,ND
Azúcares con grasa,Aderezo ranch bajo en calorías,3,cucharada,45,45,64,1.3,2.8,14.1,398.6,2.6,ND,ND
Azúcares con grasa,Aderezo ruso bajo en calorías,3,cucharada,45,45,65,0.3,1.7,12.4,390.9,ND,ND,ND
Azúcares con grasa,Aderezo tipo cesar bajo en calorías,3,cucharada,45,45,87,1.5,7.3,2.9,812.9,2.9,ND,ND
Azúcares con grasa,Almendra con chocolate,15,g,15,15,77,1.4,5.6,6.6,1.4,4.0,ND,ND
Azúcares con grasa,Almond joy,1/3,pieza,16,16,80,4.3,4.3,9.4,23.8,7.4,ND,ND
Azúcares con grasa,Almond joy miniatura,1,pieza,20,20,98,5.3,5.3,11.7,29.4,9.1,ND,ND
Azúcares con grasa,Cacahuate confitado (chocolate),4,pieza,16,16,83,2.1,5.4,8.0,6.6,6.0,33.0,2.6
Azúcares con grasa,Carlos V,1/2,pieza,11,11,56,0.4,2.8,7.4,16.5,6.6,ND,ND
Azúcares con grasa,Chispas chocolate hershey,5,cucharadita,17,17,89,0.8,4.8,10.7,2.2,8.7,43.0,4.6
Azúcares con grasa,Chispas de chocolate,5,cucharadita,18,18,94,1.3,5.2,10.4,13.8,8.9,43.0,4.5
Azúcares con grasa,Chocolate amargo,1/3,pieza,14,14,70,0.7,4.4,8.0,0.5,6.3,43.0,3.5
Azúcares con grasa,Chocolate blanco,15,g,15,15,81,0.9,4.8,8.9,13.5,8.9,44.0,3.9
Azúcares con grasa,Chocolate blanco sin azúcar,19,g,19,19,90,1.7,6.7,9.9,ND,ND,35.0,3.5
Azúcares con grasa,Chocolate con arroz tostado,1/3,barra,13,13,70,1.0,3.9,7.9,11.4,6.7,ND,ND
Azúcares con grasa,Chocolate con almendra,1/3,barra,15,15,77,1.3,5.0,7.8,10.9,6.4,ND,ND
Azúcares con grasa,Chocolate con azúcar,15,g,15,15,70,0.6,2.5,11.3,5.0,ND,43.0,4.8
Azúcares con grasa,Chocolate con galleta y caramelo,1/2,barra,15,15,75,0.7,3.7,9.7,29.7,7.2,44.0,4.3
Azúcares con grasa,Chocolate con leche,15,g,15,15,64,1.4,1.6,11.1,57.3,ND,43.0,4.8
Azúcares con grasa,Chocolate con leche con menos del 10% proteínas,14,g,14,14,60,1.3,1.5,10.3,53.5,ND,ND,ND
Azúcares con grasa,Chocolate con leche y almendras sin azúcar,15,g,15,15,86,1.5,6.3,6.0,24.5,5.3,ND,ND
Azúcares con grasa,Chocolate con nugat,1/3,pieza,19,19,87,0.8,3.3,13.6,32.3,11.5,ND,ND
Azúcares con grasa,Chocolate con nugat y cacahuate,1/3,pieza,19,19,90,1.4,4.5,11.5,46.7,9.6,41.0,4.7
