alimento,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hc_g,colesterol_mg,vitamina_a_ug_re,calcio_mg,hierro_mg,sodio_mg,selenio_ug,categoria_grasa
Conejo,40,g,40,32,51,6.5,2.6,0.0,20.8,0.0,5.8,0.8,13.8,7.6,bajo
Conejo de crianza,40,g,40,32,51,6.5,2.6,0.0,20.8,0.0,5.8,0.8,13.8,7.6,bajo
Corazón de borrego,45,g,45,45,55,7.4,2.5,0.2,60.0,0.0,0.0,0.0,39.5,21.2,bajo
Corazón de borrego cocido,30,g,30,30,55,7.4,2.4,0.6,74.2,0.0,0.0,0.0,18.7,14.1,bajo
Corazón de cordero,45,g,45,45,55,7.4,2.5,0.2,60.0,0.0,0.0,0.0,39.5,14.4,bajo
Corazón de cordero cocido,30,g,30,30,55,7.4,2.4,0.6,74.2,0.0,0.0,0.0,18.7,14.1,bajo
Corazón de pavo,40,g,40,40,58,7.3,2.8,0.3,46.3,0.0,0.0,0.0,35.1,2.0,bajo
Corazón de pollo cocido,25,g,25,25,53,7.9,2.6,0.0,70.2,0.0,0.0,0.0,17.5,2.0,bajo
Corned beef,25,g,25,25,54,6.7,3.1,0.0,22.3,0.0,0.0,0.6,218.8,4.3,bajo
Corned beef con áspic,30,g,30,30,46,6.9,1.8,0.0,13.9,0.0,3.2,0.6,286.1,5.2,bajo
Cuete de ternera,35,g,35,35,55,6.9,2.8,0.0,31.5,0.0,3.9,1.1,31.5,5.5,bajo
Falda de cerdo,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,11.4,bajo
Filete de carpa,40,g,40,40,51,7.2,2.3,0.0,26.4,3.8,16.5,0.5,19.8,5.6,bajo
Filete de cerdo,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,11.4,bajo
Filete de puerco,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,11.4,bajo
Filete de salmón,30,g,30,30,55,6.0,3.2,0.0,17.6,4.6,3.5,0.1,17.6,13.4,bajo
Gallina,40,g,40,27,59,7.6,3.0,0.0,21.2,5.4,7.1,0.5,17.4,3.4,bajo
Gallina joven cocida,40,g,40,27,59,7.6,3.0,0.0,21.2,5.4,7.1,0.5,17.4,4.9,bajo
Ganso de crianza,40,g,40,32,52,7.4,2.3,0.0,27.2,3.9,4.2,0.8,28.2,5.4,bajo
Guajolote,45,g,45,36,57,7.3,2.8,0.0,26.0,0.7,5.3,0.5,23.1,8.2,bajo
Hígado de ganso crudo,40,g,40,40,53,6.5,1.7,2.5,206.0,3723.6,17.2,12.2,56.0,27.2,bajo
Hígado de borrego cocido,25,g,25,25,55,7.6,2.2,0.6,125.3,1872.8,2.0,2.1,14.0,27.9,bajo
Hígado de cerdo cocido,30,g,30,30,50,7.8,1.3,1.1,106.5,1621.5,3.0,5.4,14.7,20.3,bajo
