restaurante,producto,kcal_por_equivalentes,aoambag,aoabag,aoamag,grasa_sin_proteina,cereal_sin_grasa,azucar_sin_grasa,leche_entera,leche_descremada,verduras,frutas,leguminosas,libre
Papa Johns,Pizza de queso corteza regular,330,,,1,1,3,,,,,,
Papa Johns,Pizza de queso corteza delgada,280,,,1,3,1,,,,,,
Papa Johns,Pizza de pepperoni corteza regular,305,,,1,2,2,,,,,,
Papa Johns,Pizza The Works corteza regular,375,,,1,2,3,,,,,,
Pizza Hut,Pizza de queso corteza regular,260,,,1,1,2,,,,,,
Pizza Hut,Pizza de queso corteza delgada,260,,,1,1,2,,,,,,
Pizza Hut,Pizza de pepperoni corteza regular,305,,,1,2,2,,,,,,
Pizza Hut,Pizza de pepperoni corteza delgada,260,,,1,1,2,,,,,,
Pizza Hut,Pizza Super supreme corteza regular,335,,,2,1,2,,,,,,
Little Caesars,Pizza de queso corteza regular,260,,,1,1,2,,,,,,
Little Caesars,Pizza de queso corteza delgada,190,,,1,1,1,,,,,,
Little Caesars,Pizza de vegetales y carne corteza regular,305,,,1,2,2,,,,,,
Little Caesars,Pizza de pepperoni corteza regular,260,,,1,1,2,,,,,,
KFC,Bisquet,160,,,,2,1,,,,,,
KFC,Ensalada de col,215,,,,2,,,,,5,,,
KFC,Puré de papa con gravy,115,,,,1,1,,,,,,
KFC,Crispy chicken,380,,4,,2,1,,,,,,
KFC,Extra Crispy chicken pechuga,480,,5,,3,1,,,,,,
KFC,Extra Crispy chicken pierna,360,,2,,4,1,,,,,,
KFC,Extra Crispy chicken ala,155,,2,,1,,,,,,,
KFC,Pechuga receta original,320,,5,,1,,,,,,,
KFC,Tiras de pollo con receta original,345,,5,,,1,,,,,,
KFC,Pierna receta original,245,,2,,3,,,,,,,
KFC,Ala receta original,100,,1,,1,,,,,,,
KFC,Popcorn de pollo tamaño kid,315,,2,,3,1,,,,,,
KFC,Popcorn de pollo tamaño regular,370,,3,,3,1,,,,,,
Subway,Chicken bacon ranch MELT,620,,5,,3,3,,,,,,
Subway,Ham,290,2,,,0,3,,,,,,
Subway,Italian BMT,405,,2,1,,3,,,,,,
Subway,Meatball marinara,490,,,1,3,4,,,,,,
Subway,Oven roasted chicken,330,3,,,,3,,,,,,
Subway,Roast beef,330,3,,,,3,,,,,,
Subway,Steak and cheese,375,3,,,1,3,,,,,,
Subway,Subway Club,290,2,,,,3,,,,,,
Subway,Subway melt w/cheese,360,,,2,,3,,,,,,
Subway,Sweet onion chicken teriyaki,400,3,,,,4,,,,,,
Subway,Tuna,515,2,,,,5,3,,,,,,
Subway,Turkey breast,290,2,,,0,3,,,,,,
Subway,Turkey breast and ham,290,2,,,0,3,,,,,,
Taco Bell,Burrito de frijoles,400,,,,2,1,,,,,2,
Taco Bell,Burrito Supreme con carne,405,,,2,1,3,,,,,,
Taco Bell,Burrito Supreme con pollo,320,,2,,,3,,,,,,
Taco Bell,Burrito Supreme con bistec,475,,,2,1,4,,,,,,
Taco Bell,Nachos,320,,,,4,2,,,,,,
Taco Bell,Nachos supreme,465,,,1,4,3,,,,,,
Taco Bell,Grilled steak soft taco,265,,,2,1,1,,,,,,
Taco Bell,Chicken soft taco,170,,1,,1,1,,,,,,
Taco Bell,Soft taco beef,190,,,1,1,1,,,,,,
Starbucks,Café americano,,,,,,,,,,,,1
Starbucks,Expresso,,,,,,,,,,,,1
Starbucks,Capuchino con leche entera grande,150,,,,,,,1,,,,,
Starbucks,Café latte con leche entera grande,235,,,,1,,1,1,,,,,
Starbucks,Café mocha con leche entera y crema batida,360,,,,2,,3,1,,,,,
Starbucks,Caramel Macchiato con leche entera,230,,,,,2,1,,,,,
Starbucks,Frapuchino caramel con crema batida,355,,,,1,,4,1,,,,,
Starbucks,Frapuchino mocha con crema batida,355,,,,1,,4,1,,,,,
Starbucks,Frapuchino con crema batida,435,,,,1,,6,1,,,,,
Starbucks,Chocolate caliente con leche entera y crema batida,400,,,,2,,4,1,,,,,
Starbucks,Latte frió,150,,,,,,,1,,,,,
Starbucks,Mocha frió,360,,,,2,,3,1,,,,,
Starbucks,Mocha chocolate blanco con leche entera y crema batida,505,,,,1,,4,2,,,,,
Starbucks,Chocolate blanco caliente con leche entera y crema batida,550,,,,2,,4,2,,,,,
Starbucks,Frapuchino caramel light,120,,,,,3,,,,,,
Starbucks,Frapuchino mocha light,175,,,,,2,,1,,,,
Starbucks,Frapuchino light,215,,,,,3,,1,,,,
Starbucks,Café latte con leche baja en grasa,135,,,,,1,,1,,,,
Starbucks,Limonada Tazo,200,,,,,5,,,,,,
Starbucks,Té helado negro/verde Marca Tazo,80,,,,,2,,,,,,
Starbucks,Té helado pasión marca Tazo,80,,,,,2,,,,,,
